voting,models,model_count,exact_match_accuracy,mean_label_accuracy,diabetes_accuracy,hypertension_accuracy,obesity_accuracy,diabetes_f1,hypertension_f1,obesity_f1,overall_f1
hard,knn + svm + random_forest + ridge_classifier + gradient_boosting + sgd_classifier,6,0.6808510638297872,0.8595744680851064,0.8085106382978723,0.774468085106383,0.9957446808510638,0.6017699115044248,0.07017543859649122,0.9934640522875817,0.5551364674628326
hard,knn + svm + naive_bayes + logistic_regression + decision_tree + gradient_boosting + sgd_classifier,7,0.6808510638297872,0.8595744680851064,0.8212765957446808,0.7574468085106383,1.0,0.6379310344827587,0.17391304347826086,1.0,0.6039480259870066
hard,knn + svm + naive_bayes + ridge_classifier + decision_tree + gradient_boosting + sgd_classifier,7,0.6808510638297872,0.8595744680851064,0.8212765957446808,0.7574468085106383,1.0,0.6379310344827587,0.17391304347826086,1.0,0.6039480259870066
hard,knn + svm + random_forest + logistic_regression + decision_tree + extra_trees + gradient_boosting,7,0.6808510638297872,0.8595744680851064,0.8170212765957446,0.7617021276595745,1.0,0.6126126126126126,0.06666666666666667,1.0,0.5597597597597598
hard,knn + svm + random_forest + ridge_classifier + decision_tree + extra_trees + gradient_boosting,7,0.6808510638297872,0.8595744680851064,0.8170212765957446,0.7617021276595745,1.0,0.6126126126126126,0.06666666666666667,1.0,0.5597597597597598
hard,knn + svm + naive_bayes + logistic_regression + ridge_classifier + decision_tree + gradient_boosting + sgd_classifier,8,0.6808510638297872,0.8595744680851064,0.8212765957446808,0.7574468085106383,1.0,0.6379310344827587,0.17391304347826086,1.0,0.6039480259870066
hard,knn + svm + random_forest + logistic_regression + ridge_classifier + decision_tree + extra_trees + gradient_boosting,8,0.6808510638297872,0.8595744680851064,0.8170212765957446,0.7617021276595745,1.0,0.6126126126126126,0.06666666666666667,1.0,0.5597597597597598
hard,knn + svm + sgd_classifier,3,0.6808510638297872,0.8581560283687942,0.8085106382978723,0.7702127659574468,0.9957446808510638,0.5945945945945946,0.12903225806451613,0.9934640522875817,0.5723636349822309
hard,knn + ridge_classifier + decision_tree + gradient_boosting,4,0.6808510638297872,0.8581560283687942,0.8127659574468085,0.774468085106383,0.9872340425531915,0.6,0.07017543859649122,0.9801324503311258,0.550102629642539
hard,knn + svm + logistic_regression + sgd_classifier,4,0.6808510638297872,0.8581560283687942,0.8085106382978723,0.7702127659574468,0.9957446808510638,0.5945945945945946,0.12903225806451613,0.9934640522875817,0.5723636349822309
hard,knn + svm + extra_trees + gradient_boosting + sgd_classifier,5,0.6808510638297872,0.8581560283687942,0.8085106382978723,0.7702127659574468,0.9957446808510638,0.5871559633027523,0.1,0.9934640522875817,0.5602066718634447
hard,knn + svm + random_forest + logistic_regression + gradient_boosting,5,0.6808510638297872,0.8581560283687942,0.8042553191489362,0.7702127659574468,1.0,0.603448275862069,0.06896551724137931,1.0,0.5574712643678161
hard,knn + svm + random_forest + ridge_classifier + gradient_boosting,5,0.6808510638297872,0.8581560283687942,0.8042553191489362,0.7702127659574468,1.0,0.603448275862069,0.06896551724137931,1.0,0.5574712643678161
hard,random_forest + logistic_regression + decision_tree + extra_trees + gradient_boosting,5,0.6808510638297872,0.8581560283687942,0.8212765957446808,0.7531914893617021,1.0,0.6111111111111112,0.17142857142857143,1.0,0.5941798941798943
hard,random_forest + ridge_classifier + decision_tree + extra_trees + gradient_boosting,5,0.6808510638297872,0.8581560283687942,0.8212765957446808,0.7531914893617021,1.0,0.6111111111111112,0.17142857142857143,1.0,0.5941798941798943
hard,knn + svm + logistic_regression + extra_trees + gradient_boosting + sgd_classifier,6,0.6808510638297872,0.8581560283687942,0.8085106382978723,0.7702127659574468,0.9957446808510638,0.5871559633027523,0.1,0.9934640522875817,0.5602066718634447
hard,knn + svm + naive_bayes + ridge_classifier + decision_tree + gradient_boosting,6,0.6808510638297872,0.8581560283687942,0.8170212765957446,0.7702127659574468,0.9872340425531915,0.6126126126126126,0.03571428571428571,0.9801324503311258,0.5428197828860081
hard,knn + svm + random_forest + logistic_regression + ridge_classifier + gradient_boosting,6,0.6808510638297872,0.8581560283687942,0.8042553191489362,0.7702127659574468,1.0,0.603448275862069,0.06896551724137931,1.0,0.5574712643678161
hard,knn + svm + random_forest + naive_bayes + logistic_regression + ridge_classifier + decision_tree + extra_trees + gradient_boosting,9,0.6808510638297872,0.8581560283687942,0.8170212765957446,0.7574468085106383,1.0,0.6260869565217392,0.19718309859154928,1.0,0.6077566850377628
hard,knn + svm + random_forest + logistic_regression + ridge_classifier + extra_trees + gradient_boosting,7,0.6808510638297872,0.8567375886524823,0.8042553191489362,0.7659574468085106,1.0,0.6101694915254238,0.15384615384615385,1.0,0.5880052151238592
hard,knn + decision_tree + extra_trees + gradient_boosting + sgd_classifier,5,0.6808510638297872,0.8567375886524822,0.8127659574468085,0.7617021276595745,0.9957446808510638,0.6071428571428571,0.125,0.9934640522875817,0.5752023031434796
hard,svm + decision_tree + extra_trees + gradient_boosting + sgd_classifier,5,0.6808510638297872,0.8567375886524822,0.8085106382978723,0.7659574468085106,0.9957446808510638,0.6017699115044248,0.09836065573770492,0.9934640522875817,0.5645315398432372
hard,knn + logistic_regression + decision_tree + extra_trees + gradient_boosting + sgd_classifier,6,0.6808510638297872,0.8567375886524822,0.8127659574468085,0.7617021276595745,0.9957446808510638,0.6071428571428571,0.125,0.9934640522875817,0.5752023031434796
hard,svm + logistic_regression + decision_tree + extra_trees + gradient_boosting + sgd_classifier,6,0.6808510638297872,0.8567375886524822,0.8085106382978723,0.7659574468085106,0.9957446808510638,0.6017699115044248,0.09836065573770492,0.9934640522875817,0.5645315398432372
hard,svm + ridge_classifier + decision_tree + extra_trees + gradient_boosting + sgd_classifier,6,0.6808510638297872,0.8567375886524822,0.8085106382978723,0.7659574468085106,0.9957446808510638,0.6017699115044248,0.09836065573770492,0.9934640522875817,0.5645315398432372
hard,knn + svm + naive_bayes + ridge_classifier + gradient_boosting + sgd_classifier,6,0.6808510638297872,0.8553191489361702,0.8127659574468085,0.7702127659574468,0.9829787234042553,0.6071428571428571,0.1,0.9733333333333334,0.5601587301587302
hard,knn + svm + logistic_regression + ridge_classifier + decision_tree + extra_trees + gradient_boosting,7,0.6808510638297872,0.8539007092198582,0.8042553191489362,0.7574468085106383,1.0,0.6166666666666667,0.12307692307692308,1.0,0.57991452991453
hard,knn + svm + random_forest + logistic_regression + extra_trees + gradient_boosting + sgd_classifier,7,0.6808510638297872,0.8539007092198582,0.8,0.7659574468085106,0.9957446808510638,0.591304347826087,0.12698412698412698,0.9934640522875817,0.5705841756992652
hard,knn + svm + random_forest + ridge_classifier + extra_trees + gradient_boosting + sgd_classifier,7,0.6808510638297872,0.8539007092198582,0.8,0.7659574468085106,0.9957446808510638,0.591304347826087,0.12698412698412698,0.9934640522875817,0.5705841756992652
hard,knn + svm + random_forest + logistic_regression + ridge_classifier + extra_trees + gradient_boosting + sgd_classifier,8,0.6808510638297872,0.8539007092198582,0.8,0.7659574468085106,0.9957446808510638,0.591304347826087,0.12698412698412698,0.9934640522875817,0.5705841756992652
hard,svm + decision_tree + extra_trees + gradient_boosting,4,0.676595744680851,0.8652482269503546,0.825531914893617,0.774468085106383,0.9957446808510638,0.5684210526315789,0.0,0.9934640522875817,0.5206283683063869
hard,svm + random_forest + logistic_regression + decision_tree + extra_trees + gradient_boosting,6,0.676595744680851,0.8638297872340425,0.8170212765957446,0.774468085106383,1.0,0.5656565656565656,0.07017543859649122,1.0,0.5452773347510189
hard,svm + random_forest + ridge_classifier + decision_tree + extra_trees + gradient_boosting,6,0.676595744680851,0.8638297872340425,0.8170212765957446,0.774468085106383,1.0,0.5656565656565656,0.07017543859649122,1.0,0.5452773347510189
hard,random_forest + logistic_regression + decision_tree + gradient_boosting,4,0.676595744680851,0.8624113475177305,0.8212765957446808,0.7659574468085106,1.0,0.5531914893617021,0.09836065573770492,1.0,0.5505173816998024
hard,random_forest + ridge_classifier + decision_tree + gradient_boosting,4,0.676595744680851,0.8624113475177305,0.8212765957446808,0.7659574468085106,1.0,0.5531914893617021,0.09836065573770492,1.0,0.5505173816998024
